# Hyperparameter Testing for Instance: pr07
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.2_mutant=0.2_gen=100_bias=0.8, 2468.65, 48, 41.53, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=100_bias=0.9, 2096.23, 59, 46.88, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=150_bias=0.7, 2661.26, 57, 31.955, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=150_bias=0.8, 2608.93, 35, 29.322, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=150_bias=0.9, 2465.46, 113, 75.558, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=200_bias=0.7, 2368.46, 78, 39.338, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=200_bias=0.8, 2429.9, 57, 46.158, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=200_bias=0.9, 2401.05, 45, 35.509, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=250_bias=0.7, 2581.89, 64, 37.591, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=250_bias=0.8, 2491.96, 48, 40.444, 6, 6
pop=50_elite=0.2_mutant=0.2_gen=250_bias=0.9, 2355.64, 68, 54.239, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=50_bias=0.7, 3007.19, 2, 8.776, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=50_bias=0.8, 2553.54, 21, 18.351, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=50_bias=0.9, 2591.56, 46, 28.891, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=100_bias=0.7, 2142.74, 1, 28.141, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=100_bias=0.8, 2236.18, 84, 56.564, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=100_bias=0.9, 2705.92, 44, 29.875, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=150_bias=0.7, 2220.38, 18, 42.263, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=150_bias=0.8, 2508.31, 6, 30.728, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=150_bias=0.9, 2591.8, 48, 35.459, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=200_bias=0.7, 3007.27, 10, 10.104, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=200_bias=0.8, 2647.71, 35, 30.342, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=200_bias=0.9, 2354.47, 35, 34.041, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=250_bias=0.7, 2498.46, 103, 59.973, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=250_bias=0.8, 2341.4, 37, 48.092, 6, 6
pop=50_elite=0.2_mutant=0.3_gen=250_bias=0.9, 2625.59, 38, 33.631, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=50_bias=0.7, 2992.3, 14, 10.437, 7, 6
pop=50_elite=0.2_mutant=0.4_gen=50_bias=0.8, 2605.93, 49, 23.028, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=50_bias=0.9, 2626.46, 49, 21.233, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=100_bias=0.7, 2522.39, 10, 23.141, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=100_bias=0.8, 2848.42, 49, 24.426, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=100_bias=0.9, 2388.46, 57, 40.908, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=150_bias=0.7, 2957.04, 16, 12.616, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=150_bias=0.8, 2673.62, 69, 40.467, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=150_bias=0.9, 2485.16, 27, 38.031, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=200_bias=0.7, 2898.49, 3, 9.851, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=200_bias=0.8, 3070.42, 85, 30.078, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=200_bias=0.9, 2485.55, 77, 50.143, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=250_bias=0.7, 3057.22, 29, 14.059, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=250_bias=0.8, 2456.89, 51, 25.901, 6, 6
pop=50_elite=0.2_mutant=0.4_gen=250_bias=0.9, 2575.08, 50, 34.801, 6, 6
