# Hyperparameter Testing for Instance: p01
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.2_mutant=0.3_gen=50_bias=0.7, 1168.17, 8, 2.546, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=50_bias=0.8, 1112.1, 49, 4.834, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=50_bias=0.9, 1242.58, 14, 3.664, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=100_bias=0.7, 1276.89, 10, 1.918, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=100_bias=0.8, 1306.3, 53, 4.18, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=100_bias=0.9, 1097.15, 40, 7.216, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=150_bias=0.7, 1331.29, 14, 2.448, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=150_bias=0.8, 1094.44, 73, 10.26, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=150_bias=0.9, 1201.83, 46, 5.64, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=200_bias=0.7, 1282.93, 12, 1.703, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=200_bias=0.8, 1217.77, 43, 5.125, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=200_bias=0.9, 1144.95, 48, 6.952, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=250_bias=0.7, 1309.59, 15, 2.173, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=250_bias=0.8, 1296.44, 15, 2.324, 11, 4
pop=50_elite=0.2_mutant=0.3_gen=250_bias=0.9, 1104.12, 25, 5.023, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=50_bias=0.7, 1351, 38, 3.316, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=50_bias=0.8, 1270.72, 20, 2.663, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=50_bias=0.9, 1288.12, 47, 4.837, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=100_bias=0.7, 1311.64, 19, 2.256, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=100_bias=0.8, 1326.38, 71, 4.301, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=100_bias=0.9, 1181.89, 51, 6.731, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=150_bias=0.7, 1366.2, 1, 1.136, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=150_bias=0.8, 1311.26, 13, 1.581, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=150_bias=0.9, 1113.25, 15, 3.591, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=200_bias=0.7, 1337.34, 28, 3.043, 11, 4
